,Variable,Category,Wage_m,Wage_f,Wage_Avg,Wage_Diff,Sex,Count,Year
7,JOB,Maintenance,36491.419,37162.675,36827.047,-671.256,Female,3766,2017
8,JOB,Military,44558.07,44275.793,44416.932,282.277,Male,4111,2017
9,JOB,Military,34793.293,35705.7,35249.496,-912.407,Female,561,2017
10,JOB,Production,44117.849,42933.627,43525.738,1184.222,Male,50924,2017
11,JOB,Production,32645.18,32070.215,32357.698,574.965,Female,17081,2017
12,JOB,Sales,53470.266,51337.158,52403.712,2133.108,Male,87701,2017
13,JOB,Sales,39885.397,38615.859,39250.628,1269.538,Female,131102,2017
14,JOB,Science,83662.766,84311.679,83987.222,-648.913,Male,58144,2017
15,JOB,Science,69615.32,70489.813,70052.566,-874.493,Female,19116,2017
16,JOB,Services,39520.926,37631.211,38576.068,1889.715,Male,61511,2017
17,JOB,Services,29158.685,28335.457,28747.071,823.228,Female,55844,2017
18,JOB,Transport,41240.196,41230.074,41235.135,10.122,Male,51841,2017
19,JOB,Transport,31792.352,32093.256,31942.804,-300.904,Female,8344,2017
0,RACE,Asian,71701.093,66968.082,69334.588,4733.011,Male,32898,2017
1,RACE,Asian,62008.377,59129.834,60569.106,2878.543,Female,27239,2017
2,RACE,Black,44628.68,47077.522,45853.101,-2448.842,Male,40855,2017
3,RACE,Black,38525.224,41269.08,39897.152,-2743.856,Female,46394,2017
4,RACE,Hispanic,42915.454,46382.191,44648.822,-3466.737,Male,82106,2017
5,RACE,Hispanic,34271.653,38251.854,36261.754,-3980.201,Female,57183,2017
6,RACE,Mixed,55441.887,56570.526,56006.206,-1128.639,Male,9917,2017
7,RACE,Mixed,45792.61,47561.395,46677.002,-1768.785,Female,8594,2017
8,RACE,Native,44748.497,46337.777,45543.137,-1589.28,Male,4491,2017
9,RACE,Native,37448.631,39167.681,38308.156,-1719.05,Female,4165,2017
10,RACE,White,62975.309,63438.256,63206.782,-462.947,Male,396364,2017
11,RACE,White,49007.692,49968.184,49487.938,-960.492,Female,305109,2017
0,AGE,18-22,25686.345,25859.707,25773.026,-173.362,Male,17990,2017
1,AGE,18-22,23100.087,23355.234,23227.66,-255.147,Female,11104,2017
2,AGE,23-28,38709.44,39437.523,39073.482,-728.083,Male,64034,2017
3,AGE,23-28,33503.386,35592.019,34547.702,-2088.633,Female,53097,2017
4,AGE,29-36,53262.803,54862.988,54062.896,-1600.185,Male,106243,2017
5,AGE,29-36,43395.791,46597.837,44996.814,-3202.046,Female,81416,2017
6,AGE,37-45,63977.197,65642.05,64809.624,-1664.853,Male,115797,2017
7,AGE,37-45,49977.673,52191.443,51084.558,-2213.77,Female,88601,2017
8,AGE,46-55,67016.52,67249.48,67133,-232.96,Male,138928,2017
9,AGE,46-55,51499.614,51817.412,51658.513,-317.798,Female,114176,2017
10,AGE,56-70,65506.962,63347.935,64427.448,2159.027,Male,123639,2017
11,AGE,56-70,51452.79,50321.62,50887.205,1131.17,Female,100290,2017
0,DIV,East North Central,57125.578,57722.718,57424.148,-597.14,Male,85404,2017
1,DIV,East North Central,44013.485,44998.249,44505.867,-984.764,Female,65815,2017
2,DIV,East South Central,52710.459,52640.581,52675.52,69.878,Male,31168,2017
3,DIV,East South Central,40386.165,40730.466,40558.316,-344.301,Female,25455,2017
4,DIV,Middle Atlantic,63291.397,63824.805,63558.101,-533.408,Male,74175,2017
5,DIV,Middle Atlantic,50006.794,52323.281,51165.038,-2316.487,Female,61499,2017
6,DIV,Mountain,56420.395,55806.341,56113.368,614.054,Male,41679,2017
7,DIV,Mountain,45108.476,45155.121,45131.799,-46.645,Female,30853,2017
8,DIV,New England,69918.749,70280.371,70099.56,-361.622,Male,27112,2017
9,DIV,New England,55401.511,57071.27,56236.39,-1669.759,Female,22534,2017
10,DIV,Pacific,63318.079,64468.396,63893.238,-1150.317,Male,91055,2017
11,DIV,Pacific,51449.844,53982.074,52715.959,-2532.23,Female,67831,2017
12,DIV,South Atlantic,57346.422,57828.128,57587.275,-481.706,Male,109862,2017
13,DIV,South Atlantic,46465.466,47299.799,46882.632,-834.333,Female,91566,2017
14,DIV,West North Central,54616.954,55378.369,54997.662,-761.415,Male,39929,2017
15,DIV,West North Central,42718.615,43354.052,43036.334,-635.437,Female,31552,2017
16,DIV,West South Central,55969.271,56424.01,56196.64,-454.739,Male,66247,2017
17,DIV,West South Central,43332.892,44092.226,43712.559,-759.334,Female,51579,2017
0,SEX,Male,60002.861,60775.465,60389.163,-772.604,Male,575484,2018
1,SEX,Female,47419.645,49096.203,48257.924,-1676.558,Female,456420,2018
0,EDU,B.S. Degree,74756.028,69579.974,72168.001,5176.054,Male,133390,2018
1,EDU,B.S. Degree,59946.487,56705.537,58326.012,3240.95,Female,123116,2018
2,EDU,Highschool,43640.202,43993.514,43816.858,-353.312,Male,149897,2018
3,EDU,Highschool,33084.551,33590.512,33337.531,-505.961,Female,86821,2018
4,EDU,M.S. Degree,91417.387,81032.152,86224.77,10385.235,Male,53599,2018
5,EDU,M.S. Degree,75231.179,69223.436,72227.308,6007.743,Female,63313,2018
6,EDU,No Highschool,36614.576,35331.892,35973.234,1282.684,Male,43666,2018
7,EDU,No Highschool,28593.896,28761.879,28677.888,-167.983,Female,19401,2018
8,EDU,PhD,106501.344,103962.806,105232.075,2538.538,Male,24367,2018
9,EDU,PhD,91243.856,90633.675,90938.766,610.181,Female,19966,2018
10,EDU,Some College,52318.083,51887.546,52102.814,430.537,Male,170565,2018
11,EDU,Some College,40040.303,40057.743,40049.023,-17.44,Female,143803,2018
0,JOB,Art,64951.54,59098.742,62025.141,5852.798,Male,40661,2018
1,JOB,Art,55775.072,50949.119,53362.095,4825.953,Female,75438,2018
2,JOB,Business,84303.045,82595.354,83449.2,1707.691,Male,106635,2018
3,JOB,Business,67095.644,66149.729,66622.687,945.915,Female,90557,2018
4,JOB,Healthcare,84617.58,69717.087,77167.334,14900.493,Male,16342,2018
5,JOB,Healthcare,74888.198,62820.308,68854.253,12067.89,Female,51447,2018
6,JOB,Maintenance,46943.219,46185.333,46564.276,757.886,Male,91762,2018
7,JOB,Maintenance,36357.074,36795.655,36576.364,-438.581,Female,3947,2018
8,JOB,Military,46077.426,46629.357,46353.392,-551.931,Male,4168,2018
9,JOB,Military,35692.643,36638.097,36165.37,-945.454,Female,543,2018
10,JOB,Production,45215.988,44255.96,44735.974,960.028,Male,51281,2018
11,JOB,Production,33221.701,32858.289,33039.995,363.412,Female,17286,2018
12,JOB,Sales,55647.203,53236.893,54442.048,2410.31,Male,82626,2018
13,JOB,Sales,41426.183,39902.293,40664.238,1523.89,Female,126896,2018
14,JOB,Science,84902.52,85668.989,85285.755,-766.469,Male,60307,2018
15,JOB,Science,70933.235,71889.162,71411.198,-955.927,Female,20424,2018
16,JOB,Services,40552.913,38682.745,39617.829,1870.168,Male,62460,2018
17,JOB,Services,30098.188,29282.979,29690.584,815.209,Female,57904,2018
18,JOB,Transport,41318.388,41473.107,41395.748,-154.719,Male,59242,2018
19,JOB,Transport,31626.55,31919.304,31772.927,-292.754,Female,11978,2018
0,RACE,Asian,74363.483,70440.465,72401.974,3923.018,Male,33424,2018
1,RACE,Asian,64547.921,61979.823,63263.872,2568.098,Female,28142,2018
2,RACE,Black,45952.612,48856.998,47404.805,-2904.386,Male,41030,2018
3,RACE,Black,39323.9,42421.498,40872.699,-3097.598,Female,45918,2018
4,RACE,Hispanic,44203.695,47771.954,45987.824,-3568.259,Male,84103,2018
5,RACE,Hispanic,35206.719,39184.499,37195.609,-3977.78,Female,59289,2018
6,RACE,Mixed,57567.445,59083.888,58325.666,-1516.443,Male,10394,2018
7,RACE,Mixed,46764.39,48474.802,47619.596,-1710.412,Female,9118,2018
8,RACE,Native,45869.918,49187.604,47528.761,-3317.686,Male,4437,2018
9,RACE,Native,37874.165,40162.547,39018.356,-2288.382,Female,4057,2018
10,RACE,White,63766.319,64353.055,64059.687,-586.736,Male,402096,2018
11,RACE,White,49498.703,50946.769,50222.736,-1448.066,Female,309896,2018
0,AGE,18-22,26301.506,26231.103,26266.304,70.403,Male,18792,2018
1,AGE,18-22,23740.189,24160.368,23950.278,-420.179,Female,11614,2018
2,AGE,23-28,39725.44,40704.585,40215.012,-979.145,Male,65961,2018
3,AGE,23-28,34334.719,36590.122,35462.42,-2255.403,Female,54983,2018
4,AGE,29-36,54686.329,56568.897,55627.613,-1882.568,Male,108896,2018
5,AGE,29-36,44572.551,48102.824,46337.688,-3530.273,Female,83739,2018
6,AGE,37-45,65101.211,66728.74,65914.976,-1627.529,Male,116480,2018
7,AGE,37-45,50910.858,53655.735,52283.296,-2744.877,Female,89734,2018
8,AGE,46-55,68197.196,68676.74,68436.968,-479.544,Male,137596,2018
9,AGE,46-55,52197.315,53105.95,52651.632,-908.635,Female,113515,2018
10,AGE,56-70,66487.105,64916.904,65702.004,1570.201,Male,127759,2018
11,AGE,56-70,51756.495,51003.137,51379.816,753.358,Female,102835,2018
0,DIV,East North Central,56886.543,57613.913,57250.228,-727.37,Male,86469,2018
1,DIV,East North Central,44426.833,45890.178,45158.506,-1463.345,Female,67023,2018
2,DIV,East South Central,54112.381,55050.718,54581.55,-938.337,Male,31973,2018
3,DIV,East South Central,40906.923,41839.684,41373.304,-932.761,Female,25728,2018
4,DIV,Middle Atlantic,64272.474,65440.515,64856.494,-1168.041,Male,75076,2018
5,DIV,Middle Atlantic,51503.904,54084.857,52794.38,-2580.953,Female,62418,2018
6,DIV,Mountain,56652.518,56611.624,56632.071,40.894,Male,42820,2018
7,DIV,Mountain,45473.481,46288.314,45880.898,-814.833,Female,31418,2018
8,DIV,New England,70567.545,70466.643,70517.094,100.902,Male,27588,2018
9,DIV,New England,55642.31,57666.117,56654.214,-2023.807,Female,22880,2018
10,DIV,Pacific,65830.531,67375.728,66603.13,-1545.197,Male,93065,2018
11,DIV,Pacific,53511.043,55887.192,54699.118,-2376.149,Female,69448,2018
12,DIV,South Atlantic,58927.366,59382.056,59154.711,-454.69,Male,111925,2018
13,DIV,South Atlantic,46969.775,48331.319,47650.547,-1361.544,Female,93593,2018
14,DIV,West North Central,54186.777,55408.268,54797.522,-1221.491,Male,39730,2018
15,DIV,West North Central,41925.498,43574.163,42749.83,-1648.665,Female,31531,2018
16,DIV,West South Central,56985.936,57307.735,57146.836,-321.799,Male,66838,2018
17,DIV,West South Central,43209.661,44445.9,43827.78,-1236.239,Female,52381,2018
